point_from,point_to,weight
2590355652,99233470,1
82785951,476350851,3
14707553,907734912,1
275622946,35084627,2
26373938,26976949,2
569870574,2333031210,1
31069840,35084627,2
77182888,27608469,1
240049848,22359616,1
37413076,2831363550,2
480300122,48951240,2
26373938,338821106,1
2105021,2923535251,2
2360323201,130417544,1
714051386,1695442555,2
2703225518,1226454150,2
112959280,2360323201,1
35084627,2710541450,1
714051386,264175249,2
39935935,340376505,1
16356699,73850532,2
1580228064,169833243,3
22840845,26373938,2
14711982,351399926,1
384731898,2718362810,1
1059207842,2587278392,1
14711982,1557009919,2
178183112,14711982,2
2360323201,2402894750,1
131179888,340376505,1
2360323201,2805183704,1
261162002,907734912,2
300641932,2273823290,1
502801101,623494796,2
410748351,340376505,1
1693969812,1199102480,1
2415915638,20644420,1
36951856,298498586,1
26373938,2385999008,1
630236717,2408638574,2
25000400,146668548,1
144840737,9609622,1
64980891,412180717,1
2385999008,2315231857,2
890392501,20644420,1
79459832,1557009919,2
84822058,20644420,1
433234855,20644420,1
237245712,20644420,1
2459169938,77182888,2
2923535251,340376505,1
1245735506,1557009919,2
26731498,3236121,1
21552376,23935607,2
33134609,130417544,1
1557009919,269746147,2
2360323201,24669894,1
2360323201,347048522,3
52374272,36951856,1
129635846,3063697555,1
21177426,20644420,1
2797758762,1557009919,2
2105021,216599063,2
397153813,556661091,1
2601524623,267601954,2
82785951,34161812,2
1059207842,2710541450,1
467193917,502866773,2
29927621,3017002076,1
1059207842,269746147,1
2710541450,61348039,1
2105021,32345052,2
23935607,16329558,2
719655337,20644420,1
79459832,340376505,1
238103606,141680286,1
61348039,983376769,2
71416635,590023803,1
181892978,220616405,2
2273632160,1690890258,2
29927621,26382252,2
2437652922,532938116,1
700745372,2710541450,1
2437652922,2570427830,1
1865778720,20644420,1
2941433214,181892978,1
1580228064,181892978,2
907734912,254941287,2
298498586,543218867,2
22840845,15641984,1
600703193,3017288564,1
714051386,337995180,1
62208019,2710541450,1
2437652922,709105290,1
2379558337,2297582839,1
719655337,2408638574,2
27225245,2459169938,3
37104990,2949949244,1
156928816,2273823290,1
526411749,27225245,2
16329558,20658917,1
590023803,599745022,1
2360323201,57202693,1
546641586,2831363550,1
9444022,238768817,1
22871737,1537918573,2
480300122,44496152,2
14707553,42774171,1
19524046,19178668,1
36951856,2322065402,1
